影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
美女与野兽,比尔·康顿,斯蒂芬·卓博斯基;埃文·斯彼里奥托普洛斯;琳达·伍尔芙顿;珍妮-玛丽·勒普兰斯·德博蒙,艾玛·沃森;丹·史蒂文斯;卢克·伊万斯;凯文·克莱恩;乔什·加德;伊万·麦克格雷格;伊恩·麦克莱恩;艾玛·汤普森;斯坦利·图齐;古古·姆巴塔-劳;奥德拉·麦克唐纳;内森·麦克;哈蒂·莫拉汉;迈克尔·吉普森;水野索诺娅;亨利·加勒特;戴尔·布兰斯顿,爱情;歌舞;奇幻,美国,英语,2017-03-17(中国大陆/美国)
美女与野兽之幸福生活,Cullen Blaine;Dale Case;Daniel de la Vega;Barbara Dourmashkin;Bob Kline;Burt Medall;Mitch Rochon;Rick Leon,Alice Brown;Richard Cray;卡特·克劳克;Sheree Guitar;Chip Hand;Nancy Greystone,佩吉·奥哈拉;罗比·本森;杰夫·贝内特;吉姆·库宁斯;杰里·奥尔巴赫;戴维·奥格登·施蒂尔斯;Gregory Grudt;罗伯·鲍森;金米·罗伯特森;Anne Rogers;弗兰克·维尔克;艾普尔·温切尔;乔·安妮·沃利,喜剧;动画;音乐;家庭;奇幻,美国,英语,1998-02-17(美国)
美好世界终结时,松居大悟,松居大悟,桥本爱;苍波纯;稻叶友;利重刚;町田玛丽;大森靖子,喜剧;同性;音乐;奇幻,日本,日语,2015-01-17(日本)
美好时节,卡特琳·科西尼,卡特琳·科西尼;Laurette Polmanss,塞西尔·德·弗朗斯;伊兹雅·海格林;诺埃米·洛夫斯基;Jean-Henri Compère;Loulou Hanssen;凯文·阿札伊斯;布鲁诺·波达里德斯,剧情;爱情,法国,法语,2015-08-19(法国)
美好的一天,费尔南多·莱昂·德·阿拉诺亚,费尔南多·莱昂·德·阿拉诺亚;保拉·法里亚斯;迭戈·法里亚斯,本尼西奥·德尔·托罗;欧嘉·柯瑞兰寇;蒂姆·罗宾斯;梅兰尼·蒂埃里;塞尔希·洛佩斯;蒙坦·瑟贝尔;菲迪迦·斯图肯;弗兰克·费斯;伊文·波尔克;戈兰·戈杰克;马特·古林,剧情;喜剧;战争,西班牙,英语 / 塞尔维亚语 / 西班牙语 / 法语,2015-05-16(戛纳电影节);2015-08-28(西班牙)
美好的人生,高里·辛蒂,高里·辛蒂,沙鲁克·汗;阿莉雅·布哈特;库纳尔·卡普尔;阿迪亚·罗伊·卡普尔;阿里·札法;安加德·贝迪;伊拉·杜比,剧情;爱情,印度,印地语,2016-11-25(印度)
美好的意外,何蔚庭,哈智超;周佳琳,桂纶镁;王景春;欧阳娜娜;王元也;陈坤,喜剧;奇幻,中国大陆,汉语普通话,2017-06-02(中国大陆)
美姐,郝杰,郝杰;葛夏,叶兰;冯四;葛夏;冯云;李玉琴;郝帼英;杭志鹏;杜焕荣,剧情;爱情;家庭,中国大陆,汉语普通话 / 晋语,2013-10-18(中国大陆);2012-11(台湾金马影展)
美娜的文具店,郑益奂,裴世英;郑益奂,崔江熙;奉太奎;朱进模;郑圭洙;金熙元,剧情;喜剧,韩国,韩语,2013-05-16(韩国)
美容针,黄美娜,黄美娜,闫妮;杜天皓;宋伊人;赵毅新;张亦驰;宗晓军,喜剧;爱情,中国大陆,汉语普通话,2017-05-19(中国大陆)
美少女战士SS剧场版：九大水手战士集合！梦想黑洞的奇迹,Hiroki Shibata,Kodansha Monthly Nakayoshi,sailor moon,喜剧;动作;爱情;动画;家庭;奇幻,日本,日语,1995-12-23
美景之屋,李洙成,李洙成,Kwak Hyeon-hwa;许娜京;Oh Seong-tae,爱情,韩国,韩语,2012-10-25(韩国)
美景之屋2,Kyeong Seok-ho (???),,Jeong Min-hyeok ( ???);???;Lee Si-hyeon (???),爱情;情色,韩国,韩语,2015-05-27(韩国)
美景之屋3,李洙成,李洙成,韩英勋(???);刘智元(???);姜哲浩(???),剧情;爱情,韩国,韩语,2016-12-01(韩国)
美玉,李安奎,李安奎,金惠秀;李善均;李熙俊;崔武成;吴哈妮;金玟锡,动作;犯罪,韩国,韩语,2017-11-09(韩国)
美的统治,丹尼斯·阿康特,丹尼斯·阿康特;瓦莱丽·博格朗-尚帕涅,éric Bruneau;梅兰尼·蒂埃里;Melanie Merkosky;玛丽-乔西·克罗兹;Mathieu Quesnel;Michel Forget;Geneviève Boivin-Roussy;Magalie Lépine Blondeau;伊夫·雅克;胡安娜·阿科斯塔;Johanne-Marie Tremblay;Leni Parker;Paul Bandey;Michel Blackburn;Nick Diabo,剧情;爱情,加拿大,法语,2014-05-15(加拿大)
羞羞的铁拳,宋阳;张吃鱼,张吃鱼;宋阳,艾伦;马丽;沈腾;田雨;宋阳;薛皓文;常远;黄才伦;王智,喜剧;奇幻,中国大陆,汉语普通话,2017-09-30(中国大陆)
群盗：民乱的时代,尹钟彬,尹钟彬,河正宇;姜栋元;尹智慧;李璟荣;李圣旻;赵震雄;马东锡;宋永彰;郑满植;金成钧;金海淑;韩艺礼,动作;古装,韩国,韩语,2014-07-23(韩国)
群魔乱舞,Marvin Kren,Benjamin Hessler,Michael Fuith;Theo Trebs;Anka Graczyk,恐怖,德国,德语,2010
翼神世音 多元变奏曲,京田知己,京田知己;出渕裕,久川绫;桑岛法子;坂本真绫;下野纮,爱情;科幻;动画,日本,日语,2003-04-19(日本)
老九门番外之恒河杀树,魏阿挺,南派三叔;张鸢盎,王美人,悬疑;奇幻,中国大陆,汉语普通话,2016-11-24(中国大陆)
老人交响乐团,细川彻,细川彻;荒木源,杏;黑岛结菜;坂口健太郎;笹野高史;左顿平;小松政夫;藤田弓子;石仓三郎;茅岛成美;喜多道枝;森下能幸;萩原利久;光石研,喜剧;音乐,日本,日语,2016-11-11(日本)
老兽,周子阳,周子阳,涂们;王超北;伊丹纳;王铭硕;苏枫;阿拉腾乌拉;王子子;孙加琴;黄伟,剧情,中国大陆,汉语普通话 / 内蒙古方言,2017-12-11(中国大陆);2017-07-27(FIRST影展)
老千2：神之手,姜炯哲,许英万,崔胜铉;申世京;金允石;柳海真;李荷妮;郭度沅;李璟荣;金仁权;吴政世;朴孝朱;吕珍九,剧情;犯罪,韩国,韩语,2014-09-03(韩国)
老妈操碎心,劳伦·斯卡法莉娅,劳伦·斯卡法莉娅,萝丝·拜恩;苏珊·萨兰登;露茜·彭奇;J·K·西蒙斯;梅歌林·艾奇坤沃克;劳拉·圣吉亚科莫;比利·马格努森;杰森·雷特;哈利·哈姆林;艾米·兰德克;兰道尔·朴;迈克尔·麦基恩;凯西·威尔逊;塞西莉·斯特朗;卢·沃尔普;莎拉·贝克,剧情;喜剧;爱情,美国,英语,2015-09-14(多伦多电影节);2016-06-24(英国)
老子,雅-miyavi-,雅-miyavi-,雅-miyavi-,,日本,日语,2004-02-25
老师与流浪猫,深川荣洋,小林弘利,尾形一成;染谷将太;北乃绮;泷正则;岛田久作;佐佐木澄江;竹山隆范;久保田纱友;罇真佐子;岸本加世子,喜剧,日本,日语,2015-10-10(日本)
老师！我可以喜欢你吗？,三木孝浩,河原和音;冈田磨里,生田斗真;广濑铃;龙星凉;森川葵;健太郎;中村伦也;比嘉爱未;八木亚希子;森本治行,剧情;爱情,日本,日语,2017-10-28(日本)
老幸运,约翰·卡洛·林奇,洛根·斯帕克斯;德拉戈·苏蒙佳,哈利·戴恩·斯坦通;大卫·林奇;朗·里维斯顿;小艾德·博格里;汤姆·斯凯里特;贝丝·格兰特;詹姆斯·达伦;巴里·沙巴卡·亨利;伊冯娜·赫夫;雨果·阿姆斯特朗;贝蒂拉·达马斯;安娜·梅塞德斯;艾米·克莱尔,剧情;喜剧,美国,英语 / 西班牙语,2017-03-11(西南偏南电影节);2017-09-29(美国)
老幺,马大允,贞美珍;尹弼俊,李枖原;郑满植;李絮;郑俊荣;金恩惠;李德京,喜剧;家庭,韩国,韩语,2017-02-15(韩国)
老手,柳昇完,柳昇完,黄晸玟;刘亚仁;柳海真;吴达洙;郑满植;郑雄仁;张允珠;金时厚;陈庆;刘仁英;朴素丹,剧情;动作,韩国,韩语,2015-08-05(韩国)
老木逢春,戴维·黑尔,戴维·黑尔,薇诺娜·瑞德;克里斯托弗·沃肯;比尔·奈伊;汉斯派柏;迪伦·贝克;詹姆斯·诺顿;扎克·格雷尼尔;海伦娜·伯翰·卡特;鲁珀特·格雷夫斯;艾文·布莱纳;马利克·约巴;寇布勒·霍尔德布鲁克-史密斯;梅雷蒂斯·伊顿,剧情;悬疑,英国,英语,2014-03-20(英国)
老板,本·法尔科内,本·法尔科内;梅丽莎·麦卡西;史蒂夫·马洛,梅丽莎·麦卡西;克里斯汀·贝尔;彼特·丁拉基;艾拉·安德森;泰勒·莱伯恩;凯西·贝茨;安妮·玛莫罗;克里斯汀·沙尔;塞西莉·斯特朗;蒂莫西·西蒙斯;本·法尔科内,喜剧,美国,英语,2016-04-08(美国)
老炮儿,管虎,管虎;董润年,冯小刚;许晴;张涵予;刘桦;李易峰;吴亦凡;梁静;白举纲;于和伟;连奕名;尚语贤;鲁诺;管宗祥;尹力;余皑磊;宁浩;江珊;张译;郭京飞;张鲁一;赵毅;梁天;张一山;王俊凯;王源;易烊千玺;巴图,剧情;犯罪,中国大陆,汉语普通话,2015-12-24(中国大陆);2015-09-09(威尼斯电影节)
老爸当家,希恩·安德鲁斯,布莱恩·伯恩斯;希恩·安德鲁斯;约翰·莫里斯,威尔·法瑞尔;马克·沃尔伯格;琳达·卡德里尼;托马斯·哈登·丘奇;斯嘉丽·艾斯特维兹;欧文·瓦卡罗;鲍比·坎纳瓦尔;汉尼拔·布勒斯;比尔·伯尔;杰米·登博;马克·L·扬,喜剧,美国,英语,2015-12-25(美国)
老爸当家2,希恩·安德鲁斯,希恩·安德鲁斯;布莱恩·伯恩斯;约翰·莫里斯,威尔·法瑞尔;马克·沃尔伯格;梅尔·吉布森;约翰·利思戈;琳达·卡德里尼;亚历桑德拉·安布罗休;欧文·瓦卡罗;斯嘉丽·艾斯特维兹;迪迪·柯斯汀;约翰·塞纳;安德利娅·安德斯,喜剧,美国,英语,2017-11-10(美国)
老男孩,斯派克·李,马克·波托塞维奇;岭岸信明;土屋加仑,乔什·布洛林;伊丽莎白·奥尔森;沙尔托·科普雷;塞缪尔·杰克逊;迈克尔·因佩里奥利;庞·克莱门捷夫;詹姆斯· 兰索恩;马克斯·凯塞拉;琳达·伊蒙;埃尔维斯·诺拉斯科;拉米·马雷克;兰斯·莱迪克;汉娜·韦尔;理查德·波特诺;汉娜·西蒙尼,剧情;动作;悬疑;惊悚,美国,英语,2013-11-27(美国)
老男孩猛龙过江,肖央,肖央,肖央;王太利;屈菁菁;郝凯瑞;曲婉婷,剧情;喜剧,中国大陆,汉语普通话 / 英语 / 韩语 / 山东方言 / 意大利语,2014-07-10(中国大陆)
老笠,火火,火火;谭广源;贺鑫,郭伟亮;林雪;冯淬帆;曾国祥;姜皓文;马志威;卢惠光;崔碧珈;雷琛瑜;周祉君,惊悚;犯罪,香港,粤语,2015-07-05(纽约亚洲电影节);2016-04-14(香港)
老虎和兔子：崛起,米谷良知,西田征史,平田广明;森田成一;中村悠一;寿美菜子,剧情;动画,日本,日语,2014-02-08(日本)
考拉大冒险,李景浩,斯科特·克莱文杰;克里斯·登克;蒂莫西·韦恩·彼得内尔,查理·比尤利;利尔·托娃·布林克夫;艾伦·卡明;蒂姆·克里;克里斯·埃杰利;埃里克·洛佩斯;诺曼·麦克唐纳徳;布雷特·麦肯齐;诺兰·诺斯;菲尔·普洛克特;珍妮·普罗斯;内尔·洛斯;罗伯·施奈德;伊冯娜·斯特拉霍夫斯基,动画;家庭;冒险,韩国 / 美国,英语 / 韩语,2014-05-01(中国大陆);2012-01-12(韩国)
考死2：教学实习,俞善东,,黄静音;朴智妍;尹时润;金秀路;朴恩彬;崔雅珍,恐怖,韩国,韩语,2010-07-28
耐撕侦探,沙恩·布莱克,沙恩·布莱克;安东尼·巴格罗兹,罗素·克劳;瑞恩·高斯林;安格瑞·赖斯;马特·波莫;玛格丽特·库里;亚雅·达科斯塔;凯斯·大卫;博·纳普;罗伊丝·史密斯;Murielle Telio;Gil Gerard;黛西·塔汉;金·贝辛格;杰克·基默,喜剧;动作;犯罪,美国 / 英国,英语,2016-05-20(美国)
耶稣基督万世巨星,Gale Edwards;Nick Morris,蒂姆·赖斯,Rik Mayall;Jerome Pradon;Glenn Carter,剧情;音乐;传记,英国,英语,2000-10-16(英国);2001-04-11(美国)
联合王国,阿马·阿桑特,盖伊·希伯特;苏珊·威廉姆斯,大卫·奥伊罗;裴淳华;汤姆·费尔顿;杰克·达文波特;劳拉·卡尔迈克尔;特里·费托;杰西卡·奥伊罗;武西·库尼恩;尼古拉斯·林德赫斯特;阿诺德·奥康;阿纳斯塔西娅·希尔;夏洛特·霍普;西奥·兰迪;阿柏娜·艾弗;杰克·劳登,剧情;爱情;传记,捷克 / 英国 / 美国,英语,2016-09-09(多伦多电影节);2016-10-06(伦敦电影节);2016-11-25(英国);2017-02-10(美国)
聚焦,汤姆·麦卡锡,乔希·辛格;汤姆·麦卡锡,马克·鲁弗洛;迈克尔·基顿;瑞秋·麦克亚当斯;列维·施瑞博尔;约翰·斯拉特里;布莱恩·达西·詹姆斯;斯坦利·图齐;比利·克鲁德普;保罗·吉尔福伊尔;杰米·谢尔丹;兰·卡琉;尼尔·哈夫;迈克尔·西里尔·克赖顿;迈克尔·康特里曼,剧情;传记,美国 / 加拿大,英语,2015-09-03(威尼斯电影节);2015-11-25(美国)
肉与灵,伊尔蒂科·茵叶蒂,伊尔蒂科·茵叶蒂,亚历山德拉·博尔贝伊;格扎·莫桑伊;佐尔坦·施奈德;埃文·纳吉;塔马斯·约旦;祖莎·亚罗;雷卡·滕吉;朱丽叶·尼亚科;伊塔拉·贝克斯;伊娃·巴塔;伊斯特凡·丹科;安娜玛利亚·福多尔;伊斯特凡·科罗斯;帕尔·马可赛;马尔顿·帕特克斯,剧情;爱情,匈牙利,匈牙利语,2017-02-10(柏林电影节);2017-03-02(匈牙利)
肌肤,爱德华多·卡萨诺瓦,爱德华多·卡萨诺瓦,玛卡蕾娜·戈麦斯;洪·科塔哈雷纳;安娜·波沃罗萨;卡罗琳娜·邦;坎德拉·佩尼亚;卡门·马奇;伊洛伊·科斯塔;塞康·德拉罗萨;华金·克莱门特;哈维尔·博多洛;安娜·玛丽亚·阿亚拉;伊西娅尔·卡斯特罗;阿道夫·费尔南德斯,剧情,西班牙,西班牙语,2017-02-11(柏林电影节);2017-06-09(西班牙)
肥皂泡,东伸儿,东伸儿;乃南朝,林遣都;市原悦子;藤井美菜;相岛一之;绵引胜彦,剧情,日本,日语,2017-03-04(日本)
育婴室,皮查农·塔玛杰拉,周浩晖,皮查雅·瓦塔那蒙迪里;朱一龙;徐洁儿,恐怖;古装,中国大陆 / 泰国,汉语普通话 / 英语,2016-10-28(中国大陆/泰国)
背带短裤丧尸来袭,Dominik Hartel,Dominik Hartel;Armin Prediger,Gabriela Marcinkova;劳里·卡尔弗特;Oscar Dyekj?r Giese;Patricia Aulitzky;卡尔·菲舍尔;玛格丽特·提塞尔,喜剧;恐怖,奥地利,德语 / 英语,2016-10-28(英国)
背负春天,木村大作,瀧本智行,松山ケンイチ;蒼井優;豊川悦司;檀ふみ;小林薫;新井浩文;吉田栄作;池松壮亮;安藤サクラ;仲村トオル;市毛良枝;井川比佐志;石橋蓮司;夏八木勲,剧情,日本,日语,2014-06-14(日本)
胖嘟嘟的革命,闵斗植,,李贤真;李素晶;李茂生,喜剧;爱情,韩国 / 日本,韩语,2012-08-02(韩国)
胡丽叶塔,佩德罗·阿莫多瓦,佩德罗·阿莫多瓦;爱丽丝·门罗,阿德里亚娜·乌加特;埃玛·苏亚雷斯;米歇尔·珍娜;达里奥·格兰迪内蒂;茵玛·奎斯塔;萝西·德·帕尔马;丹尼尔·格劳;佩拉·卡斯特罗;娜塔莉·波萨;苏西·桑切斯;普利西娅·戴尔加多,剧情,西班牙,西班牙语,2016-04-08(西班牙);2016-05-17(戛纳电影节)
胡杨的夏天,朱时茂,张园,朱一龙;姜瑞佳;张文婷;马也;徐光宇;杨大鹏;范晋嘉;王思懿;祝延平;陈佩斯;海哈金喜;潘长江;刘亚津,喜剧;爱情,中国大陆,汉语普通话,2017-10-20(中国大陆)
胡狼来了,裴亨俊,,宋智孝;金在中,剧情;喜剧;犯罪,韩国,韩语,2012-11-15(韩国)
胶片时代爱情,张律,张律,安圣基;文素丽;朴海日;韩艺礼,剧情,韩国,韩语,2015-10-22(韩国)
脆弱地带,罗宾·史威考德,罗宾·史威考德;E·L·多克托罗;纳撒尼尔·霍桑,布莱恩·科兰斯顿;詹妮弗·加纳;比佛莉·德安姬罗;伊恩·安东尼·代尔;杰森·奥玛拉;皮帕·贝内特-华纳;埃勒里·斯派比利;维多利亚·布鲁诺;莫妮卡·劳森;弗雷德里克·基夫;艾萨克·莱瓦;哈尔·戴恩;比尔·蒂莫尼;伊莱扎·科尔曼;德里克·阿尔瓦拉多,剧情,美国,英语,2016-09-02(特柳赖德电影节);2017-05-19(美国)
脑内中毒大作战,佐藤祐市,相泽友子;水城雪可奈,真木阳子;西岛秀俊;古川雄辉;成河;吉田羊;樱田日和;神木隆之介;浅野和之,剧情;喜剧,日本,日语,2015-05-09(日本)
脑残粉,玛尼什·莎玛,哈比卜·费萨尔,沙鲁克·汗;瓦妮·卡普尔;保罗·布莱克维尔;玛瑞沃拉·嘉沃斯卡;李·尼古拉斯·哈里斯;琼恩·史密斯;乔蕾·科斯;扎卡里·柯芬;理查德·班克斯,剧情;动作;悬疑;惊悚,印度,印地语,2016-11-02(中国大陆);2016-04-15(印度)
脑浆炸裂少女,阿部雄一,吉田恵里香,柏木日向;竹富圣花;上白石萌歌;志田友美;荒井敦史;菅谷哲也;浅香航大,科幻;冒险,日本,日语,2015-07-25(日本)
脑火,杰拉德·巴瑞特,杰拉德·巴瑞特;苏珊娜?卡哈兰,科洛·莫瑞兹;托马斯·曼;理查德·阿米蒂奇;凯瑞-安·莫斯;珍妮·斯蕾特;泰勒·派瑞;艾力克斯·萨哈拉;詹·麦克莱恩-安格斯;肯·特雷布莱特;纳维德·内加班;罗伯特·莫隆尼;阿加·达什;珍妮特·基德尔;文森特·盖尔;丹尼尔·巴孔;艾丽森·阿拉亚;布瑞恩·麦凯格;李·马贾道布;杰西·弗雷泽;伊丽莎白·鲍恩;琳赛·纳瓦罗;妮科尔·勒普拉卡,剧情;传记,爱尔兰 / 加拿大,英语,2016-09-14(多伦多电影节)
脑男,泷本智行,真边克彦;成岛出;首藤瓜于,生田斗真;松雪泰子;江口洋介;二阶堂富美;太田莉菜;大和田健介;染谷将太;光石研;甲本雅裕;小泽征悦;石桥莲司;夏八木勋,悬疑;犯罪,日本,日语,2013-02-09(日本)
脱轨时代,五百,高雅楠;张静初;陆川,张静初;潘粤明;吴克群;朱珠;班嘉佳,喜剧;爱情,中国大陆,汉语普通话,2014-03-07(中国大陆)
自己的葬礼,Aaron Schneider,C. Gaby Mitchell;Chris Provenzano,罗伯特·杜瓦尔;茜茜·斯派塞克;比尔·默瑞;卢卡斯·布莱克;Gerald McRaney;比尔·考布斯;Scott Cooper;Lori Beth Edgeman,剧情;悬疑,美国 / 德国 / 波兰,英语,2010-07-30(美国);2010-10-22(波兰)
自杀小队,大卫·阿耶,大卫·阿耶;罗伯特·坎耐尔;罗斯·安德鲁;约翰·奥斯特兰德,威尔·史密斯;杰瑞德·莱托;玛格特·罗比;乔尔·金纳曼;维奥拉·戴维斯;本·阿弗莱克;杰·科特尼;卡拉·迪瓦伊;杰伊·埃尔南德斯;斯科特·伊斯特伍德;阿德沃尔·阿吉纽依-艾格拜吉;埃兹拉·米勒;科曼;亚当·比奇;吉姆·帕拉克;伊克·巴里霍尔兹;亚历克斯·梅拉兹;凯伦·福原;雷蒙德·奥鲁巴维尔,动作;犯罪;奇幻,美国,英语 / 日语 / 西班牙语,2016-08-05(美国)
自杀森林,杰森·扎达,尼克·安托斯卡;莎拉·康威尔;本·科泰,娜塔莉·多默尔;泰勒·金尼;欧文·马肯;斯蒂芬妮·沃格特;小泽征悦;Rina Takasaki;Noriko Sakura;Y?ho Yamashita;Masashi Fujimoto,恐怖,美国,英语,2016-01-08(美国)
自由之丘,洪尚秀,洪尚秀,加濑亮;文素丽;徐永嬅;金义城;尹汝贞;纪柱峰;郑恩彩;李珉宇,剧情,韩国,英语 / 韩语 / 日语,2014-09-04(韩国)
自由坠落,斯蒂芬·拉坎特,斯蒂芬·拉坎特,汉诺·科夫勒;马克思·雷迈特;卡塔琳娜·舒特勒;Attila Borlan;Stephanie Sch?nfeld;奥利弗·布洛克,剧情;爱情;同性,德国,德语,2013-02-08(柏林电影节);2013-05-23(德国)
自闭历程,米克·杰克逊,Merritt Johnson;Christopher Monger,克莱尔·丹妮丝;朱莉娅·奥蒙德;凯瑟琳·欧哈拉;大卫·斯特雷泽恩;Barry Tubb;Melissa Farman;谢拉米·李;查尔斯·贝克;Blair Bomar,剧情;传记,美国,英语,2010-02-06
至尊寿喜烧,前田司郎,前田司郎,井浦新;洼冢洋介;市川实日子;仓科加奈,剧情,日本,日语,2013-11-23(日本)
至暗之时,克里斯·格拉克,乔·斯派茨;莱斯利·博希姆;M.T. Ahern,埃米尔·赫斯基;奥莉薇·瑟尔比;麦克思·明格拉;瑞切尔·泰勒;乔尔·金纳曼;维诺妮卡·奥泽尔娃;尤里·库琴科;彼得·费奥多罗夫;达托·巴赫塔泽;Nikolay Efremov;Georgiy Gromov;Artur Smolyaninov;Anna Rudakova;Ivan Gromov;Aleksandr Chernykh,剧情;动作;科幻;惊悚,美国,英语 / 俄语,2011-12-25(美国)
至暗时刻,乔·赖特,安东尼·麦卡滕,加里·奥德曼;克里斯汀·斯科特·托马斯;莉莉·詹姆斯;本·门德尔森;斯蒂芬·迪兰;萨缪尔·韦斯特;汉娜·斯蒂尔;罗纳德·皮卡普;乔丹·沃勒;理查德·拉姆斯登;安娜·伯内特;尼古拉斯·琼斯;查理·帕尔默·罗斯韦尔;布赖恩·佩蒂福;菲利普·马丁·布朗;安杰莉克·琼;希尔顿·麦克雷;詹姆斯·伊莱斯;杰瑞米·查亚德;马汀·麦格;迈克尔·海登;迈克尔·博特,剧情;传记;历史,英国 / 美国,英语,2017-12-01(中国大陆);2017-09-01(特柳赖德电影节);2018-01-12(英国)
至暴之年,J·C·尚多尔,J·C·尚多尔,奥斯卡·伊萨克;杰西卡·查斯坦;大卫·奥伊罗;亚历桑德罗·尼沃拉;艾伯特·布鲁克斯;伊莱耶斯·加贝尔;卡塔利娜·桑迪诺·莫雷诺;克里斯托弗·阿波特;阿什利·威廉姆斯;杰里·阿德勒;大卫·马古利斯;黛西·塔汉;杰森·拉尔夫;吉米·帕伦博;伊丽莎白·玛维尔;罗伯特·克洛赫赛;帕特里克·布林;苏珊·布莱克威尔;彼得·格雷蒂;John Procaccino;格伦·弗莱施勒;Annie Funke;马修·马希尔;本·罗森菲尔德;帕特里克·比都;Kathleen Doyle,剧情;动作;惊悚;犯罪,美国,英语 / 西班牙语,2014-11-06(AFI影展);2014-12-31(美国)
